State,fips,ratePer100k
"Richardson County, Nebraska(6)",31147,503.5
"Mountrail County, North Dakota(6)",38061,503.4
"Habersham County, Georgia(7)",13137,503.3
"Bibb County, Georgia(7)",13021,503.1
"Wayne County, Michigan(7)",26163,503.1
"Logan County, Ohio(6)",39091,503.1
"McDonough County, Illinois(6)",17109,503
"Worth County, Georgia(7)",13321,502.8
"Kitsap County, Washington(7)",53035,502.7
"Perry County, Arkansas(6)",5105,502.4
"Crook County, Oregon(6)",41013,502.4
"Rockingham County, New Hampshire(6)",33015,502.4
"St. Helena Parish, Louisiana(7)",22091,502.3
"Noxubee County, Mississippi(6)",28103,502.1
"Kidder County, North Dakota(6)",38043,502.1
"Harrison County, West Virginia(6)",54033,502.1
"Lewis and Clark County, Montana(6)",30049,502
"Hardeman County, Tennessee(6)",47069,502
"Bienville Parish, Louisiana(7)",22013,502
"Perry County, Tennessee(6)",47135,502
"Des Moines County, Iowa(7)",19057,501.9
"Forsyth County, Georgia(7)",13117,501.8
"Mercer County, North Dakota(6)",38057,501.8
"Cross County, Arkansas(6)",5037,501.8
"Yates County, New York(7)",36123,501.8
"Scott County, Missouri(6)",29201,501.6
"Davie County, North Carolina(6)",37059,501.6
"Rowan County, North Carolina(6)",37159,501.6
"Marshall County, Illinois(6)",17123,501.4
"Bureau County, Illinois(6)",17011,501.3
"Tazewell County, Illinois(6)",17179,501.3
"Simpson County, Kentucky(7)",21213,501.3
"Marion County, West Virginia(6)",54049,501.3
"Broome County, New York(7)",36007,501.3
"Broadwater County, Montana(6)",30007,501.2
"Lawrence County, Pennsylvania(6)",42073,501.1
"Clallam County, Washington(7)",53009,501.1
"Henderson County, Kentucky(7)",21101,501
"Pearl River County, Mississippi(6)",28109,500.9
"Philadelphia County, Pennsylvania(6)",42101,500.8
"Loudon County, Tennessee(6)",47105,500.6
"Franklin County, Georgia(7)",13119,500.6
"Covington County, Mississippi(6)",28031,500.5
"Greenbrier County, West Virginia(6)",54025,500.5
"Mercer County, Pennsylvania(6)",42085,500.5
"Lamar County, Alabama(6)",1075,500.4
"Lincoln County, Montana(6)",30053,500.1
"McDowell County, North Carolina(6)",37111,500
"Lee County, Iowa(7)",19111,499.9
"Scotland County, North Carolina(6)",37165,499.9
"West Baton Rouge Parish, Louisiana(7)",22121,499.8
"Rolette County, North Dakota(6)",38079,499.8
"Roane County, West Virginia(6)",54087,499.7
"Madison County, New York(7)",36053,499.5
"Kingfisher County, Oklahoma(6)",40073,499.4
"Ben Hill County, Georgia(7)",13017,499.4
"Aurora County, South Dakota(6)",46003,499.4
"Wetzel County, West Virginia(6)",54103,499.3
"Hitchcock County, Nebraska(6)",31087,499.2
"Wexford County, Michigan(6)",26165,499.1
"Knott County, Kentucky(7)",21119,499.1
"Bell County, Kentucky(7)",21013,499
"Elmore County, Alabama(6)",1051,498.9
"Hamilton County, Iowa(7)",19079,498.9
"Woodbury County, Iowa(7)",19193,498.9
