State,fips,ratePer100k
"Scioto County, Ohio(6)",39145,88.7
"Chattahoochee County, Georgia(7)",13053,88.6
"La Salle Parish, Louisiana(7)",22059,88.6
"Fulton County, New York(7)",36035,88.6
"White County, Illinois(6)",17193,88.5
"Lee County, Georgia(7)",13177,88.4
"McDowell County, North Carolina(6)",37111,88.4
"Franklin County, Georgia(7)",13119,88.4
"Greene County, Illinois(6)",17061,88.2
"Simpson County, Kentucky(7)",21213,88.2
"Yazoo County, Mississippi(6)",28163,88.1
"Jennings County, Indiana(6)",18079,88.1
"Nemaha County, Nebraska(6)",31127,88.1
"Grant County, Indiana(6)",18053,88.1
"Clay County, South Dakota(6)",46027,88.1
"Cecil County, Maryland(6)",24015,88.1
"Morgan County, Illinois(6)",17137,88
"Chickasaw County, Mississippi(6)",28017,88
"Elliott County, Kentucky(7)",21063,88
"Franklin County, Nebraska(6)",31061,87.9
"Gilmer County, West Virginia(6)",54021,87.8
"Ashley County, Arkansas(6)",5003,87.8
"Clinton County, Missouri(6)",29049,87.7
"Walker County, Alabama(6)",1127,87.6
"Somerset County, Maine(6)",23025,87.5
"St. Bernard Parish, Louisiana(7)",22087,87.4
"Barrow County, Georgia(7)",13013,87.4
"Henry County, Kentucky(7)",21103,87.4
"Stewart County, Tennessee(6)",47161,87.1
"Pemiscot County, Missouri(6)",29155,87
"Union County, Illinois(6)",17181,87
"Ringgold County, Iowa(7)",19159,87
"Taylor County, Georgia(7)",13269,87
"Chattooga County, Georgia(7)",13055,86.9
"Haralson County, Georgia(7)",13143,86.8
"Wilkinson County, Georgia(7)",13319,86.8
"Richardson County, Nebraska(6)",31147,86.8
"Surry County, North Carolina(6)",37171,86.7
"Humphreys County, Mississippi(6)",28053,86.7
"Fayette County, Ohio(6)",39047,86.7
"Wayne County, Tennessee(6)",47181,86.7
"Stokes County, North Carolina(6)",37169,86.7
"Shelby County, Kentucky(7)",21211,86.6
"Miller County, Georgia(7)",13201,86.5
"West Feliciana Parish, Louisiana(7)",22125,86.5
"Iron County, Missouri(6)",29093,86.5
"Lamar County, Alabama(6)",1075,86.5
"Jefferson County, Arkansas(6)",5069,86.5
"Preble County, Ohio(6)",39135,86.5
"Dyer County, Tennessee(6)",47045,86.4
"Leake County, Mississippi(6)",28079,86.4
"Hardin County, Tennessee(6)",47071,86.4
"Greene County, Arkansas(6)",5055,86.3
"Harrison County, Mississippi(6)",28047,86.3
"Oxford County, Maine(6)",23017,86.3
"Ralls County, Missouri(6)",29173,86.2
"Lawrence County, Ohio(6)",39087,86.2
"Suwannee County, Florida(6)",12121,86.2
"Marion County, West Virginia(6)",54049,86.2
"Henderson County, Texas(6)",48213,86.1
"Marion County, Missouri(6)",29127,86
"West Carroll Parish, Louisiana(7)",22123,85.9
"Hamilton County, Florida(6)",12047,85.8
"Prince George County, Virginia(6)",51149,85.8
"Washington County, Ohio(6)",39167,85.8
"Marion County, Ohio(6)",39101,85.8
"Clay County, Illinois(6)",17025,85.7
"Audrain County, Missouri(6)",29007,85.7
"Davidson County, North Carolina(6)",37057,85.7
"Vermilion County, Illinois(6)",17183,85.6
"Harrison County, West Virginia(6)",54033,85.6
"DeKalb County, Tennessee(6)",47041,85.6
"Greenbrier County, West Virginia(6)",54025,85.6
"Macon County, Tennessee(6)",47111,85.6
"Brooke County, West Virginia(6)",54009,85.6
"Larue County, Kentucky(7)",21123,85.5
"Mason County, West Virginia(6)",54053,85.5
"Harper County, Oklahoma(6)",40059,85.5
"Salem County, New Jersey(7)",34033,85.4
"Vernon Parish, Louisiana(7)",22115,85.4
"Franklin County, Kentucky(7)",21073,85.3
"Richmond County, Virginia(6)",51159,85.3
"Roscommon County, Michigan(6)",26143,85.3
"Marion County, Mississippi(6)",28091,85.3
"Clay County, Alabama(6)",1027,85.3
"Grundy County, Tennessee(6)",47061,85.3
"Edwards County, Illinois(6)",17047,85.2
"Marshall County, Mississippi(6)",28093,85.2
"Hancock County, Mississippi(6)",28045,85.1
